x,y,GRID_CODE1-zoom,GRID_CODE-youtube,GRID_CODE-twitter,GRID_CODE-poi,GRID_CODE-flickr,GRID_CODE-email,GRID_CODE-company
2.225796 ,48.897312 ,2998363.25 ,0.00 ,83493.41 ,0.00 ,7007802.50 ,0.00 ,0.00 
2.225988 ,48.897312 ,5904677.50 ,0.00 ,3243876.25 ,0.00 ,5708279.50 ,0.00 ,0.00 
2.226180 ,48.897312 ,3986227.00 ,0.00 ,11488753.00 ,0.00 ,3047369.75 ,0.00 ,0.00 
2.226372 ,48.897312 ,1017237.06 ,0.00 ,10204569.00 ,0.00 ,13899.71 ,0.00 ,0.00 
2.226564 ,48.897312 ,4044450.00 ,0.00 ,1712450.75 ,0.00 ,0.00 ,79653.27 ,0.00 
2.226756 ,48.897312 ,5260009.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3721748.50 ,0.00 
2.226948 ,48.897312 ,3295980.75 ,0.00 ,0.00 ,0.00 ,0.00 ,5974902.00 ,0.00 
2.227140 ,48.897312 ,909318.06 ,0.00 ,0.00 ,0.00 ,0.00 ,3340717.25 ,0.00 
2.227332 ,48.897312 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6302.48 ,0.00 
2.227524 ,48.897312 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.227716 ,48.897312 ,3183821.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.227908 ,48.897312 ,5980776.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.228100 ,48.897312 ,3900712.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.228292 ,48.897312 ,138909.44 ,0.00 ,0.00 ,0.00 ,0.00 ,466617.38 ,0.00 
2.228484 ,48.897312 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,589079.00 ,0.00 
2.228676 ,48.897312 ,0.00 ,0.00 ,256755.95 ,0.00 ,0.00 ,422607.34 ,0.00 
2.228868 ,48.897312 ,0.00 ,0.00 ,1338611.50 ,0.00 ,0.00 ,2471783.50 ,0.00 
2.229060 ,48.897312 ,0.00 ,0.00 ,1864689.88 ,0.00 ,0.00 ,1856467.63 ,0.00 
2.229252 ,48.897312 ,0.00 ,0.00 ,3448210.25 ,0.00 ,0.00 ,444.28 ,0.00 
2.229444 ,48.897312 ,0.00 ,0.00 ,3271392.75 ,0.00 ,0.00 ,0.00 ,0.00 
2.229636 ,48.897312 ,0.00 ,0.00 ,1175307.38 ,0.00 ,0.00 ,0.00 ,0.00 
2.229828 ,48.897312 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.230020 ,48.897312 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.230212 ,48.897312 ,0.00 ,0.00 ,755789.50 ,0.00 ,0.00 ,0.00 ,0.00 
2.230404 ,48.897312 ,0.00 ,0.00 ,2287974.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.230596 ,48.897312 ,0.00 ,0.00 ,1048724.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.230788 ,48.897312 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.230980 ,48.897312 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.231172 ,48.897312 ,0.00 ,0.00 ,464969.13 ,0.00 ,0.00 ,0.00 ,0.00 
2.231364 ,48.897312 ,0.00 ,0.00 ,3845995.25 ,0.00 ,0.00 ,0.00 ,0.00 
2.231556 ,48.897312 ,2038794.75 ,0.00 ,4446105.50 ,0.00 ,0.00 ,0.00 ,0.00 
2.231748 ,48.897312 ,3898033.00 ,0.00 ,1720324.13 ,0.00 ,0.00 ,0.00 ,0.00 
